Source,Target,Type,Weight
44967732,123846465,Undirected,1
44967732,242081224,Undirected,1
44967732,175008088,Undirected,1
44967732,165639937,Undirected,1
44967732,161703995,Undirected,1
138707765,44967732,Undirected,41
138707765,83615933,Undirected,41
138707765,344839250,Undirected,41
138707765,102309164,Undirected,41
138707765,394415595,Undirected,41
138707765,154509440,Undirected,1
138707765,141427356,Undirected,1
138707765,64878115,Undirected,1
138707765,145926775,Undirected,1
138707765,36765163,Undirected,1
138707765,184525661,Undirected,1
138707765,100748539,Undirected,1
138707765,191561678,Undirected,1
138707765,167157059,Undirected,1
138707765,11643230,Undirected,1
138707765,365118619,Undirected,1
138707765,230113322,Undirected,1
138707765,70019233,Undirected,1
138707765,369760415,Undirected,1
138707765,160051537,Undirected,1
138707765,212727825,Undirected,1
138707765,363584573,Undirected,1
138707765,137564510,Undirected,1
138707765,181210814,Undirected,1
138707765,211965561,Undirected,1
138707765,104053146,Undirected,1
138707765,110769637,Undirected,1
138707765,405371748,Undirected,1
138707765,236444953,Undirected,1
138707765,346439435,Undirected,1
138707765,53527481,Undirected,2
138707765,341760476,Undirected,1
138707765,136157820,Undirected,1
138707765,74114942,Undirected,1
138707765,256856928,Undirected,1
138707765,428279535,Undirected,1
138707765,51853851,Undirected,1
138707765,183546102,Undirected,1
138707765,287348808,Undirected,1
138707765,106676720,Undirected,1
138707765,84673170,Undirected,1
138707765,412617002,Undirected,1
138707765,202908355,Undirected,1
138707765,100774130,Undirected,1
138707765,125270270,Undirected,1
138707765,301980769,Undirected,1
138707765,84103474,Undirected,1
138707765,447176207,Undirected,1
138707765,167998959,Undirected,1
138707765,100000640,Undirected,2
138707765,364142835,Undirected,2
138707765,393223681,Undirected,2
138707765,94092010,Undirected,2
138707765,6990457,Undirected,2
138707765,118496762,Undirected,2
138707765,181331658,Undirected,2
138707765,49943786,Undirected,1
138707765,109198537,Undirected,1
138707765,98229918,Undirected,1
138707765,109831795,Undirected,1
138707765,347134221,Undirected,1
